song,artist,genre,lyrics
Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']","232 ContributorsTranslationsTürkçeSvenskaEspañolSlovenčinaРусскийPortuguêsPolskiNorsk (bokmål / riksmål)日本語ItalianoHebrewDeutschFrançaisفارسیNederlandsDanskShqipالعربيةBlinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm goin' through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
You might also like
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey

Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch275Embed"
Someone You Loved,Lewis Capaldi,"['pop', 'uk pop']","220 ContributorsTranslationsSvenskaEspañolPortuguêsDeutschNederlandsFrançaisSomeone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
You might also like
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved168Embed"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']","4 ContributorsThis Is Post Malone Lyrics1. Post Malone- Circles
2. Post Malone- rockstar (feat. 21 Savage)
3. Post Malone & Swae Lee- Sunflower (Spider-Man: Into the Spider-Verse)
4. Post Malone- Better Now
5. Post Malone- Only Wanna Be With You (Pokémon 25 Version)
6. Post Malone- Congratulations (feat. Quavo)
7. Post Malone- Goodbyes (feat. Young Thug)
8. Post Malone- Wow
9. Post Malone- Psycho (feat. Ty Dolla $ign)
10. Post Malone- I Fall Apart
11. Post Malone- Saint-Tropez
12. Post Malone- Candy Paint
13. Tyla Yaweh- Tommy Lee (feat. Post Malone)
14. Post Malone- Hollywood's Bleeding
15. Post Malone- Go Flex
16. Post Malone- Enemies (feat. DaBaby)
17. Post Malone- Die For Me (feat. Future & Halsey)
18. Post Malone- Take What You Want (feat. Ozzy Osbourne & Travis Scott)
19. Post Malone- On The Road (feat. Meek Mill & Lil Baby)
20. Post Malone- A Thousand Bad Times
21. Post Malone- I'm Gonna Be
22. Post Malone- Staring At The Sun (feat. SZA)
23. Post Malone- Allergic
24. Post Malone- Myself
25. Post Malone- Over Now
26. Post Malone- White Iverson
27. Post Malone- I Know
28. Post Malone- Rich & Sad
29. Post Malone- Internet
30. Post Malone- Stay
31. Post Malone- Ball For Me (feat. Nicki Minaj)
32. Post Malone- No Option
33. Post Malone- Paranoid
34. Post Malone- Spoil My Night (feat. Swae Lee)
35. Post Malone- Zack And Codeine
36. Post Malone- 92 Explorer
37. Post Malone- Too Young
38. Post Malone- Takin' Shots
39. Post Malone- Otherside
40. Post Malone- Money Made Me Do It (feat. 2 Chainz)
41. Post Malone- Same Bitches (feat. G-Eazy & YG)
42. Post Malone- Feeling Whitney
43. Post Malone- Sugar Wraith
44. Post Malone- Patient
45. Post Malone- Blame It On Me
46. Post Malone- Big Lie
47. Post Malone - One Right Now (feat. The Weeknd)
48. Young Thug - Livin It Up (feat. Post Malone & A$AP Rocky)
49. Post Malone - Cooped Up (feat. Roddy Ricch)
50. Post Malone - I Like You (A Happier Song) 
51. Post Malone - Lemon Tree
52. Post Malone - Wasting Angels (feat. The Kid LAROI)You might also likeEmbed"
Dance Monkey,Tones And I,['australian pop'],"160 ContributorsTranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my god, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again""

I said, ""Oh my god, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, eh-eh-eh
And when you’re done, I'll make you do it all again
All again""115Embed"
One Dance,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","302 ContributorsTranslationsTürkçeEspañolEnglishDeutschFrançaisOne Dance Lyrics
Baby, I like your style

Grips on your waist, front way, back way
You know that I don't play
Streets not safe but I never run away
Even when I'm away
Oti, oti
There's never much love when we go OT
I pray to make it back in one piece
I pray, I pray

That's why I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
Baby, I like your style
See Drake LiveGet tickets as low as $110You might also like
Strength and guidance
All that I'm wishing for my friends
Nobody makes it from my ends
I had to bust up the silence
You know you gotta stick by me
Soon as you see the text, reply me
I don't wanna spend time fighting
We've got no time, and that's why

I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me

Got a pretty girl and she love me long time
Wine it, wine it, she love me long time
Oh, yeah, very long time
Back up, back up, back up, and wine am
Back up, back up, and wine am, girl, just
Back up, back up, back up, and wine am
Oh, yeah, very long time
Back, up, back up and wine am, girl
Oh, tell me, I need to know
Where do you wanna go?
'Cause if you're down, I'll take it slow
Make you lose control

Where, where, where
Where, where, where, where (Oh, yeah, very long time)
Where, where, where (Back up, back up, and wine am, girl)
Where, where, where, where
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)
'Cause if you're down (Back up, back up, and–)

I need a one dance (Where, where, where)
Got a Hennessy in my hand (Where, where, where, where)
One more time 'fore I go (Where)
Higher powers taking a hold on me (Where, where, where, where)
I need a one dance
Got a Hennessy in my hand
One more time 'fore I go
Higher powers taking a hold on me
How do you spell ""Hennessy?""
I put two ""N""s and two ""S""es, is it like that? Hen... Henn... Henn...
It's definitely not showing up
I know ""Hennessy"" has two ""S""es for sure, so I'm gonna take out one of the ""N""s234Embed"
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],"1 ContributorNew Music Friday 7/9/21 LyricsBTS - Permission to Dance
Post Malone - Motley Crew
Billie Eilish - NDA
The Kid LAROI - Stay (with Justin Bieber)
Maluma - Sobrio
BIA - WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix
Kane Brown - Memory
Jungle - Romeo (feat. Bas)
Yung Bleu - Way More Close (Stuck In A Box) (feat. Big Sean)
Nathy Peluso - MAFIOSA
Zoe Wees - you broke me first - Spotify Singles
Omar Apollo - Go Away
Bad Bunny - De Museo
Vince Staples - ARE YOU WITH THAT?
Snoh Aalegra - NEON PEACH feat. Tyler, The Creator
Jennifer Lopez - Cambia el Paso
John Legend - Crowd Go Crazy
IDK - Keto
Bas - Thе Jackie (with J. Cole & Lil Tjay)
Masked Wolf - Say So
glaivе - fuck this town
Claire Rosinkranz - Hotel
AURORA - Cure For Me
Tkay Maidza - Onto Me (with UMI)
Dave - Clash (feat. Stormzy)
carolesdaughter - please put me in a medically induced coma
Camylio - love and hate
Joy Oladokun - judas
Ant Clemons - Section (feat. Kehlani)
Logic - Get Up
Little Simz - I Love You, I Hate You
Peggy Gou - I Go - Edit
Icona Pop - Off Of My Mind
Tinashe - Bouncin
Nina Nesbitt - Summer Fling
Walk Off the Earth - Love You Right 🕒
Parmalee - Take My Name
Jon Langston - Try Missing You
Sufjan Stevens - Reach Out
Charlotte Day Wilson - I Can Only Whisper (feat. BADBADNOTGOOD)
mazie - dumb dumb
Fredo Bang - Bless His Soul (with Polo G)
Kid Ink - Party
Dro Kenji - CROSS
Jayson Cash - Priority (feat. Blxst)
Amorphous - The Vibe
Frank Walker - Shadows 🕒
Lost Kings - Me Myself & Adderall
Twin Shadow - Is There Any Love 🕒
Inhaler - In My Sleep
Nothing But Thieves - Miracle, Baby
Sam Fender - Seventeen Going Under - Edit
Allison Ponthier - Hell Is A Crowded Room
Courtney Barnett - Rae Street
Oslo Ibrahim - Baby Don't Let Me Go
O.T. Genasis - What Is Your Name 🕒
NGeeYL - Off-White (feat. Lil Uzi Vert)
Cyn Santana - Come
Jam & Lewis - Do It Yourself 🕒
Mariah the Scientist - Walked In (feat. Young Thug)
Montell Fish - Talk 2 Me
Arden Jones - rollercoaster
Frances Forever - daytime 🐚
Loren Gray - Piece of Work
Conor Maynard - Ain't Got No Friends
Loud Luxury - Wasted 🕒
The Maine - High Forever
POORSTACY - Children of The Dark
Oscar Lang - Thank You
박혜진 Park Hye Jin - Let’s Sing Let’s Dance
Amen Dunes - Feel Nothing
Tom Odell - over you yet
HONNE - NOW I'M ALONE (feat. Sofía Valdés)
Naliya - Roller Coaster
Brynn Elliott - Can I Be Real?
Emily Weisband - butterfly (feat. Karen Fairchild)
Charley Crockett - I Need Your Love
Hillsong UNITED - Know You Will
Dwn2earth - Don't Play With Me
Bantu - Unforgivable
Issam Alnajjar - Mn Gheirik Enti
Hotboy Wes - My Lil Dance (feat. Gucci Mane)
Amindi - nwts
GRiZ - Rainbow Brain
EVAN GIIA - In Motion (feat. Reo Cragun) 🕒
Bahari - Forget You
44phantom - problems 🕒
Dylan Cartlidge - Dare To Dream 🐚
almost monday - til the end of time
LP - Goodbye
Declan McKenna - My House
Spencer. - Lonely As I Ever Was
TAELA - drugs with you
marcos g - 17 anymore
payton - DRIVE AWAY
Rejjie Snow - Shooting Star 🕒
Youssou N'Dour - Raise Your Hand
Jucee Froot - I Need A Bag
Childish Major - F Yah Job
Nicki Nicole - Me Has DejadoEmbed"
As It Was,Harry Styles,['pop'],"211 ContributorsTranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisTagalog / ᜆᜄᜎᜓᜄ᜔EnglishNederlandsShqipPolskiРусскийहिन्दीČesky한국어As It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh
You might also like
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was190Embed"
Starboy,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']","512 ContributorsTranslationsTürkçeEspañolРусскийPortuguêsFrançaisDeutschStarboy Lyrics
Ayy

I'm tryna put you in the worst mood, ah
P1 cleaner than your church shoes, ah
Milli point two just to hurt you, ah
All red Lamb' just to tease you, ah
None of these toys on lease too, ah
Made your whole year in a week too, yah
Main bitch outta your league too, ah
Side bitch outta your league too, ah
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
You might also like
Every day, a nigga try to test me, ah
Every day, a nigga try to end me, ah
Pull off in that Roadster SV, ah
Pockets overweight, gettin' hefty, ah
Comin' for the king, that's a far cry, I
I come alive in the fall time, I
The competition, I don't really listen
I'm in the blue Mulsanne, bumpin' New Edition
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
Let a nigga brag Pitt
Legend of the fall, took the year like a bandit
Bought Mama a crib and a brand new wagon
Now she hit the grocery shop lookin' lavish
Star Trek roof in that Wraith of Khan
Girls get loose when they hear this song
A hundred on the dash get me close to God
We don't pray for love, we just pray for cars
House so empty, need a centerpiece
Twenty racks a table, cut from ebony
Cut that ivory into skinny pieces
Then she clean it with her face, man, I love my baby, ah
You talkin' money, need a hearin' aid
You talkin' 'bout me, I don't see the shade
Switch up my style, I take any lane
I switch up my cup, I kill any pain

(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
Look what you've done
(Ha-ha-ha-ha-ha, ha-ha-ha-ha-ha)
I'm a motherfuckin' starboy626Embed"
rockstar,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']","474 ContributorsTranslationsEspañolPolskiFrançaisفارسیNederlandsČeskyTürkçeDeutschAzərbaycanca / آذربايجانPortuguêsРусский​​rockstar Lyrics
Hahahahaha
Tank God
Ayy, ayy

I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow, ayy, ayy)

Switch my whip, came back in black
I'm startin' sayin', ""Rest in peace to Bon Scott"" (Scott, ayy)
Close that door, we blowin' smoke
She ask me light a fire like I'm Morrison ('Son, ayy)
Act a fool on stage
Prolly leave my fuckin' show in a cop car (Car, ayy)
Shit was legendary
Threw a TV out the window of the Montage
Cocaine on the table, liquor pourin', don't give a damn
Dude, your girlfriend is a groupie, she just tryna get in
Sayin', ""I'm with the band"" (Ayy, ayy)
Now she actin' outta pocket, tryna grab up on my pants
Hundred bitches in my trailer say they ain't got a man
And they all brought a friend (Yeah, ayy, ayy, ayy)
See Post Malone LiveGet tickets as low as $309You might also like
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, pow, pow, pow)

I've been in the Hills fuckin' superstars
Feelin' like a popstar (21, 21, 21)
Drankin' Henny, bad bitches jumpin' in the pool
And they ain't got on no bra (Bra)
Hit her from the back, pullin' on her tracks
And now she screamin' out, ""¡No más!"" (Yeah, yeah, yeah)
They like, ""Savage, why you got a 12 car garage
And you only got six cars?"" (21)
I ain't with the cakin', how you kiss that? (Kiss that?)
Your wifey say I'm lookin' like a whole snack (Big snack)
Green hundreds in my safe, I got old racks (Old racks)
L.A. bitches always askin', ""Where the coke at?"" (21, 21)
Livin' like a rockstar, smash out on a cop car
Sweeter than a Pop-Tart, you know you are not hard
I done made the hot chart, 'member I used to trap hard
Livin' like a rockstar, I'm livin' like a rockstar (Ayy)
I've been fuckin' hoes and poppin' pillies
Man, I feel just like a rockstar (Star, ayy, ayy)
All my brothers got that gas
And they always be smokin' like a Rasta ('Sta, yeah, yeah, yeah, yeah)
Fuckin' with me, call up on a Uzi
And show up, man, them the shottas ('Tas)
When my homies pull up on your block
They make that thing go grra-ta-ta-ta (Ta, grra-ta-ta-ta-ta)

Star, star, rockstar, rockstar, star
Rockstar
Rockstar, feel just like a–
Rockstar
Rockstar
Rockstar
Feel just like a…773Embed"
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']","155 ContributorsTranslationsItalianoDeutschFrançaisHeat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
You might also like
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror83Embed"
