song,artist,genres,lyrics
Classic Shit,Stat Quo,"['hip hop', 'r&b']","[Intro: Eminem]
Yeah! Come on! Come on!
ATL! Yeah! Haha! WOO!
If you feel like you've been touched
By our music that is

[Verse 1: Eminem]
Nowadays everybody just wanna poke their nose in our business
What is this some kinda joke?
Man, everywhere I go all I’m hearing is more talk
""What’s up with Jada and Fat Joe?
Doing a song with ol’ boy on a song “New York”
Man, I thought you just did a song with them both?”
Man, the streets wanna know how you gonna go and diss Michael
You should get your ghetto pass revoked
I never had no ghetto pass, you asshole
You really wanna know, when I did live in the ghetto
I kept a trespassing charge up at the railroad tracks
So I suggest you get your facts straight before you go
This assuming to know
I ain't grow up in no trailer park just cause I was poor
Man, this is my testimo...ny to those that don’t know
Me, and feel like they do
If not to feel compelled to go and speak on me too
So this dick goes to YOU and this dick goes to YOU
And if you feel like you want it then you can get it too
And when your through pass it to the person next to you
Ayo, Stat get on the mic and come and spit a few
[Verse 2: Stat Quo]
Motherfucker's so quick, to spit bullshit
Stat Quo, who’s this, Em gave me the assist
Shorty got a full clip, standing in the pulpit
A–Town misfit, repping that south shit
Back four or some years ago, foe was hating, I hear them
My flow is skating across the track, rollerblading
Losing patience, want to get on chasing but this taking all my energy
Tired of waiting, people faking fronting like they kin to me
When they're really enemies, give a fuck what it is
Cuz, this what it gonna be, Shady/Aftermath lately
GMM, baby, young nigga out them projects Thomasville
Grady hospital, Freida’s only baby
Niggas biting my style get rabies
Fuck you, pay me, eat a cock, swallow shit
And plus you ain't fucking with this, so don’t trip, ha ha
Them little boys see it, what an incredible twist
I write incredible script
That fit in with the plot it’s endless
Now testify to this
Let it bang when you hear, this is classic shit"
I Miss My Dawgs,Lil Wayne,"['hip hop', 'r&b']","[Intro: Lil Wayne]
Yeah, yeah, yeah, yeah
This is the Carter muthafucka, yeah
And in my building, I must keep it real

[Verse 1: Lil Wayne]
And man I miss the times
We would shine, you would keep on your side
You would teach me how to ride
And you would teach me how to pride
Then we'd get on the line and go over our lines
We were in the same position
And that's when you changed position, shit
I never changed and I miss ya, and it's strange
But I never forget ya
Though that ain't you with them bitches homie
And I know that ain't you wit that dissin on me, that's why I
Never replied and never will, just let em live phony
If ya ever died, I swear to God, I got yo kids homie
What's mine is theirs, I gotta give homie, and yea
We still a army in this bitch homie
Yeah Cash Money still the shit homie, shit, homie!
What's really real is you feelin me nigga
That Hot Boy shit still in me nigga, word to giggity nigga
And I ain't got time to speak the history
I miss you and I know you missin me, Gizzle, but
[Chorus: Reel]
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again

[Verse 2: Lil Wayne]
And I remember when you came to the clique
I had already made my name in the clique
But you got famous and shit
I got my soulja rag and dangled my shit
I was honored just to hang wit you, shit
And I banged to the boogie-bang-bang with ya clique
And I ain't even from the 3, my hood was angry at me, shit
But I rose to my feet, played the post with the heat
At them shows while you performed and posed
I was waitin for a nigga to jump, see I was patient
But was ready to dump, cuz you my brother, chump
Real Gs never buckle up
But every family ain't filled wit gangstas that's real
And that's real and I would never turn my back
Or turn ya down, even if you turned around, muthafucka
But history is history
I miss you and I know you missin me, Juvie, but
[Chorus: Reel]
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again

[Verse 3: Lil Wayne]
You was my nigga, my nerve, my joy, my hurt
My main muthafuckin man Turk (oh!)
My other, my partner, I was teacher, he was father
I skilled, he schooled, we chilled, we moved
We thug, we hung, we ate, we slept
We lived, we died, I stayed, you LEFT!
Remember how we played to the left?
And we stayed out of trouble 'cause we stayed to our self
'Member Slim and B would leave and hand the keys over?
Tell us not to go Uptown and we went straight to tha Nolia
While I watched you reunite wit yo souljas
And yo mom and brothers, while I lied to the Stunna
Yeah, those were the times my brother
Now I recognize real and I eye my brother
Yeah, nigga, Semaj my brother, the Sqad's my brother
The niggas you left behind is my brothers!
[Chorus: Reel]
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again
Man, I miss my dawgs, many nights club poppin
Many nights we were blowin trees, many nights we were hustlin
Man I miss my dawgs, me and you through thick and thin
Me and you through the very end, for only you I'll sin again"
Drake - Over My Dead Body ft. Chantal Kreviazuk Traduction Française,Genius Traductions Franaises,"['hip hop', 'r&b']","[Hook: Chantal Kreviazuk]
How I'm feeling, it doesn't matter
Cause you know I'm okay
And still, I ask myself, ""Why do you worry ?""
When you know I'm the same
I know, I know you don't love me, baby
They’re trying to take you away from me
Only over my dead body...

[Verse 1]
I think I killed everybody in the game last year, man
Fuck it, I was on though
And I thought I found the girl of my dreams at a strip club (mm-mm)
Fuck it, I was wrong though
Shout out all to all my niggas living tax free
Nowadays it's six figures when they tax me
Oh well, I guess you lose some and win some
Long as the outcome is income
You know I want it all and then some
Shout out to Asian girls, let the lights dim some
Shots came, I don't know where they was sent from
Probably some bad hoes I'm 'bout to take the hint from
Yeah, you know me well, nigga
I mean you ain't the only real nigga
They got me on these white women like Seal, nigga
Slave to the pussy but I'm just playing the field, nigga
Are these people really discussing my career again ?
Asking if I'll be going platinum in a year again ?
Don't I got the shit the world wanna hear again ?
Don't Michael Jordan still got his hoop earring in ?
Man all of your flows bore me #PaintDrying
And I don't ever be trippin' off of what ain't mine
And I be hearing the shit you say through the grapevine
But jealousy is just love and hate at the same time
Yeah...It's been that way from the beginning
I just been playing, I ain't even notice I was winning
And this is the only sound you should fear
Man, these kids wear crowns over here and everything is alright
[Hook]

[Verse 2]
You say I'm old news, well who the new star ?
Cause if I'm going anywhere, it's probably too far
Just performed at a Bar Mitzvah over in the States
Used half of the money to beat my brother's case
Red wine over Fed time
And shout out to the niggas that's doing dead time
Shout out to the bitches there when it's bedtime
And fuck you to the niggas that think it's their time
Yeah, don't make me take your life apart, boy
You and whoever the fuck gave you your start boy
Oh, you wanna be a motherfucking funny guy ?
Don't make me break your Kevin Hart, boy
Yeah.. it's whatever
You know, feeling good - living better
I think maybe I was numb to it last year
But you know I feel it now more than ever
My city love me like Mac Dre in the Bay
Second album, I'm back paving the way
The backpackers are back on the bandwagon
Like this was my comeback season back, back in the day
And I met your baby moms last night
We took a picture together, I hope she frames it !
And I was drinking at the Palms last night
And ended up losing everything that I came with
Feel like I've been here before, huh ?
I still got 10 years to go, huh ?
And this is the only sound you should fear
Man, these kids wear crowns over here and everything is all right
[Hook]

[Outro]
Three in the morning still going down…"
Annakins Prayer,Jay Electronica,"['hip hop', 'r&b']","[Verse - Jay Electronica]
Look at this [bitch]
Smilin' in a nigga's face, I hate her
I can drill a hole at the Earth's equator
Fill it with dynamite and make another Moon with craters
See you later
She ain't know, that innocent shit with Obi-Wan
Behind a Jedi back can turn Anakin to Vader, [bitch]
Your lack of faith in the Force is disturbin'
And if it wasn't Jack Daniels and Parliament
Lights it would have been murder
My eyes is red like ketchup
Tired of playin' catch up
Layin' on the floor starin' at the dresser
Got on my knees and prayed 'till they bleed
Dear God, I'm a sick motherfucker
I even fooled myself I'm a slick motherfucker
I'm sick of the scandulous livin'
I don't think I'm even equipped for a higher standard of livin'
But if you give him one more chance and forgive him
He'll push that negative gene into oblivion
Here's what I'll do:
Put you in this basket and float you down the Mississippi
Twenty miles from the Bayou
Here's grace, here's style
Have faith cause I'mma try you
My momma introduced me to the scripture
The channel 4 news introduced me to that shit that produced Hitler
I was a young lad: Three Stooges, Superman, Batman, The Riddler
Moonwalk, Windmill, Freeze for the picture
My grandma taught me courage
She told me never let the grizzly bears eat your porridge
Or you'll just be a carcass dying slowly in the forest
I could never thank her for it
But I can slay a devil when I see one
Steady practice mastery of self so not to be one
Life is like a re-run, season after season
Bombs on the train, bombs from the plane
Of disgruntled citizens bein' tried for treason
Whatever"
Not Too Far From Nothing,Jay Electronica,"['hip hop', 'r&b']","[Verse - Jay Electronica]
There's more than one way to heal a leper
Terrorize the commercialized Thrill the hecklers
You might be eatin' off that wack shit for now
But I interrupt dinner like bill collectors
Hit the lights, cue music, run the real projectors
I was raised on Kool-Aid and Pac-Man
Steely Dan, Gap Band, Michael Jackson
Outside, the fiends was scufflin' for crack
In the same spots where shell-toes was doin' back spins
That's why I spit the otherful, colorful, you a fly motherfucker
You bubble you B.L.O.W
Vision like the Hubble, the trouble
From Lancaster to Manchester, I slam rappers
And keep weak niggas in line like band captains"
Hagler,Jay Electronica,"['hip hop', 'r&b']","[Intro: Jay Electronica]
Ladies and gentlemen
Ladies and gentlemen

[Verse One: Jay Electronica]
I banged a lot of shakers
And no I don't spit scratch rap
Just know that my hands exchanged a lot of paper
I lived a lifetime for most of y'all by twenty-one
Same spades game, different player man, plenty come, plenty go
Twenty-four with gleamers on the Benz
Might thicken up your friends, thicken up your hands
Make you feel like Charles Dickens dippin' with your pen
But you can see like Stevie do by lookin' at your kin
Family tell a story: neglect the ones you love the most
Famine for the glory, lookin' like Robert Horry
Tryin' to hit that clutch with three seconds on the clock
Viewin' things rather poorly
Those that went before me
Tried to school me well but the wisdom only bored me
I never lost yet but if I did it would be sorely
Therefore, I implore thee:
Never come before the champion of men
The beginning and the end
[Verse Two: Hager]
We're the enemy of friend Above the Rim like Leon
My blood color neon, my soul aged eons
My first name will be on the Nobel list
For now I settle for a Grammy on a track like this
I used to rap with the Kool G. lisp
Citizenship is British, red snapper, cook the fish
After grub, we hit the club and walk away with medallions
Came a long way but fuck it homey we back again
Whatever when I made it through he worst
I can die as drops in the hurricane, the rain never touches 'em
You got guts runnin' through your veins
Get freedom, the spook that sat by the door
You ain't even seen him cleanin' guns in the back
Serial numbers, they key 'em
They want half, I only need ten for my per diem
And you don't need no fuckin' wrist band to come to meet them
You can say you part of my band: The Grand Union, yeah"
Apt. A 1,cLOUDDEAD,"['hip hop', 'r&b']","[Part 1: A Intro]

[Instrumental]

[Part 2: She's Calling]

[Doseone]
Empty
Things
She's calling
She's calling me tonight
From just inside my lips
And
I'll write her
Betterment of the world through wish
Wish I'd
Fall off, growing distant
I'll write her
And pull my face fresh
From the waxy palms it's kept soft in
[Why?]
There's something
To the fading of faith
My whole childhood
Was the broken guitar
And my sister's silly
Yellow blanket
Now I carry
Slender and sexy curved
Sledge hammers
To break the bricks
I bought
I should have never went to college
But took a trip to Costa Rica
To cut rainforests
To choke myself

[Doseone]
Making up Miss Bobafetet as I go along

[Why?]
And rejecting the truths that I've been served

[Doseone]
Making up Miss Bobafetet as I go along
[Why?]
And rejecting the truths that I've been served

[Doseone]
Fool in
Besides
Tuition for my countenance
Pressed fine in reverse block
Style print
A product
Of cave drawings
Gone automated
With these loafers and a check book
Twisted tightly into... into
I know
A stiletto

[Doseone and Why?]
Do you know how many times
I've thought about writing about the paper I'm writing on?
Do you know how many times
I've thought about writing about the paper I'm writing on?

[Why?]
I lost my liquid tongue for the wet pen
[Doseone]
I have one mortal wish

[Why?]
I don't even know where I've been
(In the basement, hugging the gas main)
Something's been left out of this game
God, did you remember to render everything?
I've seen 1078 Sundays and
7 borders where the liquid meets land
I've even seen stars
Now where the fuck
Is anti-emptiness?

[Doseone]
I'm leaking into stoned and severed existence

[Why?]
I've been consumed by my own breath

[Part 3: A Touching Story]

[Illogic]
Change of face, shapeless
Personality switch, transformation
So impersonation of self leads
Crowds in twos to disintegration
Who's in the basement choking a puppet on the pedestal?
Let a stool pigeon escort those who contort
Three doors down into the left door on the right hand side
My hand slides into pockets
Pull sockets of lead penalty
Orbs of red energy
Entering the orbit of the morbid
Northern and southern hemispheres of play capsule
Place time bombs and rose stems on your axle
Clear case
Hole in faded ozone layer of doom
Sphere of babylon shield
Towering above gravity
Taking up space in a residence of stars

[Doseone]
A touching story of ungrateful velcro skulled boy
With his tored-off face
And the life-sized sacked marionette
He'd thought looked an awful lot like him
(With his time told and mildewed
Baby clothes of a business man.)
Jerk... wackoff slumped
And he's tired, sick with bad posturing
One can't hold in
Oh hell, there's a king of jungle in him yet
Give our young lad middle of America's valise
But spare the gauze, he's losing poet by the gallon
Glory, Glory
Bottom of the quicksand's gonna give him a
Whole lot less to think about
Than change that steel trap perspective would
Perhaps

I ain't a scared no more, to make a' the difference
Stolen heart, and a whole wide world to blame

[Why?]
I've been
Living
In a record
Skipped filmstrip

I'm falling off the side of the boat
And when I hit water
I'm falling off the side of the boat
I fall asleep hoping
Tomorrow tastes like poems and honeysuckle
I move slow cause the sky looks bluer
When you fuck the order of the day
Or the way the shelves were meant to fit
I wish I had a pair of stilts to wear
While I play the flute in some
Light-traffic hallway in my old high school

But these are only threats to the seated self
Maybe Spain is the open-faced smile
From some life I saw in a movie
And always thought I'd live

[Doseone]
Jackpot!

[Illogic]
Congratulations!

[Why?]
Space is potent

 "
Can I Kick It?,A Tribe Called Quest,"['hip hop', 'jazz', 'r&b', 'blues', 'pop']","[Chorus: Q-Tip]
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Well, I'm gone (Go on then!)

[Verse 1: Q-Tip]
Can I kick it? To all the people who can Quest like A Tribe does
Before this, did you really know what live was?
Comprehend to the track, for it's why cuz
Gettin measures on the tip of the vibers
Rock and roll to the beat of the funk fuzz
Wipe your feet really good on the rhythm rug
If you feel the urge to freak, do the jitterbug
Come and spread your arms if you really need a hug
Afrocentric living is a big shrug
A life filled with fun that's what I love
A lower plateau is what we're above
If you diss us, we won't even think of
Will Nipper the doggy give a big shove?
This rhythm really fits like a snug glove
Like a box of positives it's a plus, love
As the Tribe flies high like a dove
(Can I kick it?)
[Chorus: Phife Dawg]
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Well, I'm gone (Go on then!)

[Verse 2: Phife Dawg]
Can I kick it? To my Tribe that flows in layers
Right now, Phife is a poem sayer
At times, I'm a studio conveyor
Mr. Dinkins, would you please be my mayor?
You'll be doing us a really big favor
Boy this track really has a lot of flavor
When it comes to rhythms, Quest is your savior
Follow us for the funky behavior
Make a note on the rhythm we gave ya
Feel free, drop your pants, check your ha-ir
Do you like the garments that we wear?
I instruct you to be the obeyer
A rhythm recipe that you'll savor
Doesn't matter if you're minor or major
Yes, the Tribe of the game we're the player
As you inhale like a breath of fresh air
(Can I kick it?)"
Chicken and Meat,Das Racist,"['hip hop', 'r&b']","[Kool AD]
Barco, barcode, Library of Congress
Molto spinach, photo finish
Canon, cannon, shoot me out the cannon
Gum blaster, cut faster
Muévelo, muévelo, ven pa'ca
Oh my god, it's so hot
Ándale, ándale, epa, epa
Fastest rodent, check the components
Ándale ándale epa arriba
Niña, Pinta, Santa María
Ave María, Ave María
Cheese, bread, sauce, pizzeria
Carlos Santana, Juelz Santana
B-b-b-b-bananas, b-b-b-b-b-b-bananas
Young Money, Hannah Montana
Tony Montana, Sony brand cameras
Canon, cannon, shoot me out the cannon
Gum blaster, cut faster
Victor Vazquez no speaky Spanish
No speaky English, freak deaky speechless
People on the street eating chicken and meat
People eating pork with a knife and a fork
Yeah what's really good, what's really food, what's really good
Yeah what's really good, what's really foood, what's really goood
[Heems]
Catch that guap, bridge that gap
Emerging markets we've got GATT
We've got McDonalds, we've got cash
We've got weapons, we stay strapped
We've got Bennetton, Nike
Louis Vuitton, we get hyphy
We've got space race, we are space race
Beats beating up kids always save face
Medicine, mmm science
Venison, mmm wylin'
Bridge that gap like we're goin' to an island
Hard times, hard crimes, we stay smilin'
We've got brown skin, we've got brown ends
We in towns man, we own towns man
People in the street eating chicken and meat
People eating bacon all across the nation
People eating bacon all across the nation
People in the street eating chicken and meat
People eating bacon all across the nation
People eating bacon all across the nation

[Kool AD]
Gat man, gat man, tally me banana
Black Republican, stack the ducats man
Guap man, guap man, go man, stop man
Cool man, cop mandingo, bingo, name-o
Game so fake gold chain bro
So insane yo, scarecrow brain yo
Black cop, black cop
Black cop black cop black cop
You don't even get paid a whole lot
You don't even get paid a whole lot
Finna buy me a space ship
Space race man, das space racist
Overseer, overseer
Overseer officer officer officer officer
Why you wanna put me in a coffin sir?
Why you wanna put me in a coffin sir?
Watch the gap, mind the gap
Fall into the gap, hahahahahahaha
Yup
Watch the gap, mind the gap
Fall into the gaaaaaaaap
Yups
Stack ducats, banana republic
Which one's Dominican? Wait, who's the Indian?
Who ya calling pickaninny Beat like a chicken wing
Yup, yup, beat up like a chicken wing
Eating chicken and meat, people on the street eating chicken and meat
People on the street eating chicken and meat
People on the street eating chicken and meat
People on the street eating chicken and meat
[Heems]
Text game vicious, what's up bitches
Stole it from a white man, what up to white bran
Esau Mwamwaya, we got that fire
Nelson Mandela, we got that fuego
We got like hella powder that's yellow
Pass that yak, that dude Dap
Jawaharlal Nehru, Lima Peru
Mahatma Gandhi, what's up my Gandhi
Rice like Condie, Nast like Condé
One hundred percent pure thug
Thick and sick, the girl's in love
Made her a mixtape, bought her a mug
Now she buys me drinks in the club
She like my style, she like my swagger
You Keith Richards, I'm Mick Jagger
Antonio Sabàto, hot flow Jagger
You drive Kia, I drive Jaguar
I drive Tata, I drive Maruti
Truth be told, she thinks I'm groovy

[Autotune etc]

Das Racist!"
Anything,JAY-Z,"['hip hop', 'r&b']","[Intro: Jay-Z]
Uh huh yea, yeah
Duro!
You gotta let it bump
Uh, uh, uh like dat yeah
Come on bring the chorus in

[Chorus: Sample]
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you

[Verse 1: Jay-Z]
I’d do a bid, loose a rib, bust a cap, trust in that
Run up to heaven doors, exchange my life for yours
Leave a steak out the door, mi casa, su casa
Just remember to turn the lights off in the hall
My brother from another pop, minus one shot
We Nino and Gee Money, man, we all we got
From the stoop to the big dudes, stoppin' us from playin' hoops
And us getting mad, throwing rocks off the roof
Straight thuggin' man, I thought we would never progress
But look at us now man, we're young execs
My nigga Dame, my nigga Biggs, my nigga Ty
My nigga High, my nigga Gotti
We embody all that’s right with the world
No matter how pretty she is, you never liking my girl
That's how we run, when you ain’t around
I'll spank ya son, keep him in line
If you should die, I’ll keep him like mine
God forbid, keep this in mind, my nigga
[Chorus: Sample]
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you

[Verse 2: Jay-Z]
I know Momma, your little baby
But these streets raised me crazy
Product of my environment, nothing can save me
Thanks for letting me bloom, for your wisdom, for your womb
For the roof over my head, for my shoes, for my bed
For the most important lesson in life was when you said
""Strive for what you believe in, set goals and you can achieve them""
Thanks for the days you kept me breathing
When my asthma was bad and my chest was wheezin'
Thanks for the look of love just as I was leaving
On nights you thought that I wouldn't come back, that left you grieving
Thanks for holdin' down the household when times was bad
As a man, I apologize for my dad
When the rent was due, you would hustle like a pimp would do
That wasn’t the life meant for you
You’re a queen, you deserve the cream, everything that gleamed
Everything that shines, everything that’s mine
[Chorus: Sample]
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you

[Verse 3: Jay-Z]
Check it out, uh, uh
Dear nephews, I’m writing' this with no pen or a pad
And I’m signing it, ya uncle, ya best friend, and ya dad
Don't look back if you fall and you’re feeling bad
I’m right there from your cut to when you peelin' the scab
If it comes a time when you ain’t feelin' your real dad
Put my face on his body don’t wait for nobody
Don’t follow no nigga, that's ho shit man
Stand on your own two, do your shit man
The world is yours, some girls are nice some girls are whores
Don't listen to your crew, do what works for you
Standing back from situations gives you the perfect view
You see the snakes in the grass and you wait on their ass
Bite your tongue for no one and whatever is said
Take it how they want, a closed mouth don't get fed
You know my number when it’s code red
If you're wrong, my nigga
You're my nephew, fuck it we get it on my lil nigga
[Chorus: Sample]
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you
I'd risk everything
For one kiss, everything
Yes I'd do anything (Anything?)
Anything for you"
